Society/Building Name,Exact Location,Approximate Age (Years),Contact Information,Condition Indicators,Type of Opportunity,Estimated Potential Value,Source,Outreach Method,Suggested Approach Strategy,Priority,Date Added,Status,Notes
Khar Sagar CHS,"Khar Danda Road, Khar West, Mumbai 400052",45,,Visible cracks on exterior load-bearing walls; plaster peeling on facade; staircase railing corrosion; residents reported water seepage on 3rd floor,Structural Audit / Repair,High,Google Maps / Field Research,Visit,Visit society office on weekend morning; speak to secretary or chairman directly; carry brochure and reference project photos,High Urgency,2026-03-27,New,Near Khar railway station; 6-storey building ~30 flats
Bandra Reclamation Grihanirman CHS,"Bandra Reclamation, Bandra West, Mumbai 400050",55,,BMC structural audit notice issued; visible rebar corrosion with rust staining; heavy concrete spalling on lower floors; accelerated post-monsoon deterioration,Structural Audit / Repair,High,BMC Notice Board / Field Research,Visit,Urgent visit — BMC notice creates decision urgency; bring sample audit report and remediation case study; propose immediate structural audit with repair plan,High Urgency,2026-03-27,New,Prime Bandra Reclamation area; BMC notice issued — high conversion probability
Santacruz Krupa CHS,"Juhu Lane, Santacruz West, Mumbai 400054",38,,Recurring water seepage on upper floors; plaster deterioration on external walls; visible monsoon damage to parapet; residents raised issue at AGM,Repair / Restoration,Medium,Resident Referral / Field Research,Cold Call,Cold call secretary; offer free preliminary visual inspection; highlight monsoon-related structural risks; follow up with written repair proposal,High Urgency,2026-03-27,New,Close to Santacruz station; active society with regular AGM
Vile Parle Siddhi Vinayak CHS,"Nehru Road, Vile Parle East, Mumbai 400057",42,,Aging plumbing causing chronic dampness; visible structural framework fatigue on columns; residents raised concerns at recent AGM; no audit on record,Structural Audit / PMC,High,Justdial / Field Research,Visit,Visit post society AGM to meet committee; present structural audit + PMC services package; emphasize safety compliance and BMC mandate,High Urgency,2026-03-27,New,Near airport area; 8-storey building; AGM recently held — decision makers accessible
Khar Tilak Nagar CHS,"Tilak Nagar Lane, Khar West, Mumbai 400052",55,,Building over 50 years old; original pre-DCPR construction; unauthorized floor additions suspected; active redevelopment discussions among flat owners,Redevelopment / PMC,High,Google Maps / Local Broker Network,Visit,Approach through local Khar broker network; present redevelopment feasibility study offer; organize a society presentation meeting with ROI analysis,Normal,2026-03-27,New,Prime Khar West location; high FSI redevelopment potential
Khar Durga Bhavan CHS,"20th Road, Khar West, Mumbai 400052",48,,Visible crack patterns on load-bearing columns; plaster spalling on staircase walls; resident complaint about ceiling leakage on top floor; no recent structural audit,Structural Audit / Repair,Medium,Google Maps / Justdial,Cold Call,Cold call chairman; reference specific crack pattern as structural safety risk; offer free visual inspection to open conversation; schedule site visit,Normal,2026-03-27,New,Residential lane in Khar West; approx 24 flats
Khar Rajkamal CHS,"S.V. Road Junction, Khar West, Mumbai 400052",42,,Water seepage causing plaster deterioration; rusted window frames indicating moisture ingress; society recently hired waterproofing contractor without structural audit,Structural Audit,Medium,Justdial / Local Contact,Cold Call,Call society secretary; explain that waterproofing without structural audit is incomplete; cross-sell structural audit as a pre-requisite to effective waterproofing,Normal,2026-03-27,New,Near S.V. Road main junction; waterproofing work in progress — opportunity to upsell audit
Bandra Pali Hill CHS,"Pali Hill Road, Bandra West, Mumbai 400050",60,,Heritage-era construction; foundation settlement cracks visible at plinth; open-to-sky beams showing severe corrosion; residents reportedly in early redevelopment talks,Structural Audit / Redevelopment / PMC,High,Google Maps / 99acres Listing,Letter Drop,Drop formal letter to secretary with company profile and redevelopment case studies; follow up with visit; offer comprehensive feasibility study + PMC scope proposal,Normal,2026-03-27,New,Premium Pali Hill locality; high FSI redevelopment value; influential resident profiles
Bandra Mount Mary Saraswati CHS,"Mount Mary Road, Bandra West, Mumbai 400050",52,,Coastal proximity causing accelerated salt-air corrosion; exposed rebar on terrace parapet; significant monsoon damage pattern year-on-year; facade rust staining,Repair / Restoration,High,Field Survey / Google Maps,Visit,Visit with photo documentation of visible deterioration; present comprehensive repair + anti-corrosion treatment package; reference similar coastal buildings restored,Normal,2026-03-27,New,Near Mount Mary Church; sea-facing block most affected; society reportedly active with regular meetings
Santacruz Mangal Murti CHS,"Linking Road Junction, Santacruz West, Mumbai 400054",52,,Building age over 50 years; multiple patch repairs visible on facade; uneven floor levels reported by residents; redevelopment feasibility discussion ongoing,Redevelopment / PMC,High,MagicBricks / Local Contact,Visit,Contact through local property broker; arrange society meeting; present redevelopment ROI analysis and comprehensive PMC scope with timeline,Normal,2026-03-27,New,Santacruz West prime location; 10-storey building 40+ flats; redevelopment FSI potential confirmed
Santacruz Shivaji Park CHS,"J.P. Road, Santacruz West, Mumbai 400054",47,,Crack patterns on external walls; seepage in basement parking causing structural concern; last structural audit done over 10 years ago,Structural Audit,Medium,Google Maps,Email,Email society secretary with BMC audit compliance requirements; attach relevant circular on mandatory audits for 30+ year buildings; follow up with phone call within 3 days,Normal,2026-03-27,New,Near J.P. Road; active society with online presence — email works well
Vile Parle Saraswati CHS,"Nehru Road, Vile Parle West, Mumbai 400056",39,,Approaching 40-year audit threshold; visible settlement cracks at plinth level; balcony railing rusting; society discussing preventive structural audit,Structural Audit,Medium,Justdial / Field Research,Cold Call,Cold call at approaching 40-year audit trigger point; offer pre-emptive audit package; emphasize BMC mandate compliance and safety benefits,Normal,2026-03-27,New,Near Vile Parle station; society actively discussing audit need
Vile Parle Kashinath CHS,"Irla Village Road, Vile Parle West, Mumbai 400056",43,,Old-style flat-slab construction with visible deflection; terrace waterproofing failed causing top-floor leakage; society raised repair funds — needs structural assessment first,Structural Audit / Repair,High,Local Referral,Visit,Introduced via local referral; visit promptly; present structural assessment as pre-requisite for proper repair; assist in drafting repair scope and contractor brief,Normal,2026-03-27,New,Society has already budgeted for repair — ideal timing for audit-first approach
Sea View Apartments,"Bandstand Promenade, Bandra West, Mumbai 400050",50,,Building over 50 years old; BMC structural audit mandate applicable; sea-facing exposure causing salt-air corrosion on facade; no audit on record,Structural Audit,High,Legacy Data / Field Research,Cold Call,Cold call society secretary; reference BMC structural audit mandate for 30+ year buildings; schedule a preliminary site visit,Normal,2025-01-01,New,Sea-facing society near Bandstand; high-value Bandra locality
Andheri Sahyadri CHS,"Lokhandwala Complex, Andheri West, Mumbai 400053",35,,Concrete spalling observed on columns; external plaster delamination; building over 30 years old with no prior structural audit on record,Structural Audit,Medium,Legacy Data / Google Maps,Cold Call,Cold call; emphasize spalling as early sign of rebar corrosion; propose immediate structural audit to prevent escalation to major repair,Normal,2025-01-01,New,Near Lokhandwala complex
Versova Seaview CHS,"Versova Beach Road, Versova, Mumbai 400061",40,,Coastal exposure causing severe rebar corrosion on balconies; concrete spalling on ground floor columns; salt-air deterioration accelerating year-on-year,Repair / Restoration,Medium,Legacy Data / Field Research,Visit,Visit; document with photos; present case studies of similar coastal buildings; propose anti-corrosion treatment + structural repair package,Normal,2025-01-01,New,Close to Versova beach; salt-air corrosion accelerates structural deterioration
Goregaon Shanti Nagar CHS,"Film City Road, Goregaon East, Mumbai 400063",33,,Visible building tilt reported by residents; differential settlement cracks at foundation level; over 30 years old with no structural assessment done — high safety risk,Structural Audit,High,Legacy Data / Resident Referral,Cold Call,Cold call urgently — building tilt is a high-risk indicator; escalate as structural emergency; offer immediate complimentary site inspection,High Urgency,2025-01-01,New,Tilt reported — HIGH URGENCY; near Film City road
Borivali Sarvodaya CHS,"National Park Road, Borivali West, Mumbai 400092",37,,Over 30 years old; society members expressed redevelopment interest at AGM; FSI benefits under new Mumbai development plan applicable,Redevelopment / PMC,Medium,Legacy Data / Local Broker,Visit,Visit society; present redevelopment feasibility analysis; show examples of successful society redevelopments in suburban Mumbai,Normal,2025-01-01,New,Near National Park area; redevelopment interest confirmed at AGM
Kandivali Prabhat CHS,"Mahavir Nagar, Kandivali West, Mumbai 400067",45,,Multiple repair complaints from residents; patch repairs visible on facade; aging overhead water tanks causing chronic dampness on top floors,Structural Audit / Repair,Medium,Legacy Data / Justdial,Email,Email detailed proposal with scope of structural audit and repair plan; attach relevant project photos; follow up with phone call within 3 days,Normal,2025-01-01,New,Near Mahavir Nagar; multiple complaints indicate active decision-making need
Juhu Tara Apartments,"Juhu Tara Road, Juhu, Mumbai 400049",48,,Saltwater corrosion from beach proximity; rust staining on concrete facade; spalling at balcony slab edges; no recent structural audit on record,Structural Audit / Repair,High,Legacy Data / Field Research,Visit,Visit with photo documentation; present comprehensive repair + audit package; highlight coastal structure preservation case studies from similar Juhu buildings,Normal,2025-01-01,New,Near Juhu beach; high-value locality; coastal deterioration accelerating
Malad Pushpa Park CHS,"Malad Station Road, Malad West, Mumbai 400064",36,,Waterlogging issues weakening foundation; basement flooding during monsoon; foundation settlement suspected; no structural assessment on record,Structural Audit,Medium,Legacy Data / Google Maps,Cold Call,Cold call; highlight monsoon-induced foundation risks; offer pre-monsoon structural audit as preventive investment to protect property value,Normal,2025-01-01,New,Near Malad station; low-lying area prone to waterlogging
Dahisar Shivam CHS,"Dahisar Check Naka Road, Dahisar East, Mumbai 400068",30,,Approaching 30-year milestone; preventive structural audit recommended per BMC norms; early signs of plaster cracking on external walls,Structural Audit,Low,Legacy Data,Email,Email with BMC compliance reminder; offer discounted first-time preventive audit package; position as proactive safety measure,Normal,2025-01-01,New,Near Dahisar check naka; at 30-year threshold
Dadar Parsi Colony CHS,"Parsi Colony, Dadar West, Mumbai 400014",60,,Heritage-era construction; structural audit long overdue; visible deterioration of load-bearing walls; community-managed colony with active committee,Structural Audit / Repair,High,Legacy Data / Field Research,Visit,Visit colony office; approach from heritage conservation angle; propose phased structural audit sensitive to heritage character; involve conservation architect if needed,High Urgency,2025-01-01,New,Heritage-era Dadar Parsi Colony; audit long overdue; community is well-organized
Matunga Sai Krupa CHS,"Station Road, Matunga West, Mumbai 400019",52,,Visible rebar corrosion with rust bleeding on balconies; concrete spalling at parapet level; documented water seepage history; over 50 years old,Structural Audit / Repair,High,Legacy Data / Field Research,Visit,Visit; document visible corrosion with photos; propose structural assessment followed by targeted repair scope; include parapet safety assessment,Normal,2025-01-01,New,Near Matunga station; over 50 years old with documented deterioration history
Chembur Diamond CHS,"RCF Colony Road, Chembur, Mumbai 400074",34,,Settlement cracks observed near foundation plinth; over 30 years old; industrial-area proximity potentially affecting soil conditions and structural integrity,Structural Audit,Medium,Legacy Data / Google Maps,Cold Call,Cold call; mention industrial-zone soil settlement risks; propose geotechnical + structural combined assessment package for comprehensive diagnosis,Normal,2025-01-01,New,Near RCF colony; industrial proximity is a differentiating risk factor
Ghatkopar Shree Ram CHS,"Metro Station Road, Ghatkopar East, Mumbai 400077",40,,Residents expressed redevelopment interest; over 30 years old; metro construction vibrations may have induced microcracks; prime redevelopment location near metro,Redevelopment / PMC,High,Legacy Data / Local Broker,Email,Email with redevelopment opportunity analysis; highlight metro proximity as FSI and connectivity benefit; schedule society presentation with detailed ROI,Normal,2025-01-01,New,Near Ghatkopar metro; metro vibrations and strong redevelopment interest
Mulund Nirmal CHS,"LBS Road, Mulund West, Mumbai 400080",38,,Post-monsoon structural concerns raised by residents; visible water seepage on staircase and common area walls; over 30 years with no formal structural audit,Structural Audit,Medium,Legacy Data / Google Maps,Cold Call,Cold call post-monsoon; offer monsoon damage assessment as entry service; convert to full structural audit with long-term maintenance contract,Normal,2025-01-01,New,Near Mulund station; post-monsoon season is ideal outreach window
